"2021-03-10 at 8:49"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2021-03-10	8:50:03	5.00902e2	5.13476e1	7.40602e1	7.5338573e-2	1.2104127e1	7.4513173e-1	
2021-03-10	8:50:04	5.00578e2	5.13476e1	7.40625e1	7.5304365e-2	1.2102448e1	7.2637138e-1	
2021-03-10	8:50:04	5.00140e2	5.13443e1	7.40797e1	7.5258822e-2	1.2085664e1	7.1532578e-1	
2021-03-10	8:50:05	5.00927e2	5.13476e1	7.40725e1	7.5341153e-2	1.2091538e1	7.2012085e-1	
2021-03-10	8:50:05	5.00686e2	5.13509e1	7.40784e1	7.5315237e-2	1.2100770e1	7.1811714e-1	
2021-03-10	8:50:06	4.99788e2	5.13476e1	7.40722e1	7.5221157e-2	1.2111680e1	7.3961668e-1	
2021-03-10	8:50:06	5.00246e2	5.13476e1	7.40605e1	7.5269455e-2	1.2095735e1	7.4096698e-1	
2021-03-10	8:50:07	5.00477e2	5.13509e1	7.40635e1	7.5293211e-2	1.2097413e1	7.2663745e-1	
2021-03-10	8:50:07	5.00713e2	5.13476e1	7.40759e1	7.5318646e-2	1.2094056e1	7.2027959e-1	
2021-03-10	8:50:08	5.01528e2	5.13476e1	7.40705e1	7.5404429e-2	1.2096574e1	7.1958370e-1	
2021-03-10	8:50:08	5.00692e2	5.13509e1	7.40767e1	7.5315923e-2	1.2096574e1	7.1967053e-1	
2021-03-10	8:50:09	5.00966e2	5.13476e1	7.40717e1	7.5345306e-2	1.2099092e1	7.3855390e-1	
2021-03-10	8:50:09	5.01613e2	5.13443e1	7.40614e1	7.5413994e-2	1.2099931e1	7.4046845e-1	
2021-03-10	8:50:10	5.00924e2	5.13509e1	7.40652e1	7.5340366e-2	1.2094895e1	7.2488522e-1	
2021-03-10	8:50:10	4.99900e2	5.13509e1	7.40794e1	7.5232353e-2	1.2099931e1	7.1558241e-1	
