"2021-02-16 at 15:43"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2021-02-16	15:43:53	6.26815e2	5.13542e1	7.38874e1	8.7842550e-2	1.2114198e1	7.3849639e-1	
2021-02-16	15:43:54	6.24316e2	5.13575e1	7.38992e1	8.7607212e-2	1.2104127e1	7.1443552e-1	
2021-02-16	15:43:54	6.08357e2	5.13542e1	7.39087e1	8.6097316e-2	1.2108323e1	7.2791347e-1	
2021-02-16	15:43:55	5.87085e2	5.13509e1	7.38880e1	8.4051427e-2	1.2111680e1	7.3940963e-1	
2021-02-16	15:43:55	5.74896e2	5.13542e1	7.39024e1	8.2860555e-2	1.2114198e1	7.1829595e-1	
2021-02-16	15:43:56	5.71318e2	5.13575e1	7.39059e1	8.2508144e-2	1.2110841e1	7.2709407e-1	
2021-02-16	15:43:56	5.71675e2	5.13575e1	7.38899e1	8.2543230e-2	1.2119233e1	7.4346852e-1	
2021-02-16	15:43:57	5.73876e2	5.13542e1	7.38902e1	8.2760372e-2	1.2112519e1	7.2666735e-1	
2021-02-16	15:43:57	5.78373e2	5.13509e1	7.39055e1	8.3201961e-2	1.2104966e1	7.1863451e-1	
2021-02-16	15:43:58	5.82216e2	5.13542e1	7.38990e1	8.3576927e-2	1.2115037e1	7.2421483e-1	
2021-02-16	15:43:58	5.74655e2	5.13542e1	7.39065e1	8.2836875e-2	1.2104966e1	7.2487840e-1	
2021-02-16	15:43:59	5.60810e2	5.13509e1	7.38960e1	8.1469125e-2	1.2109162e1	7.3862576e-1	
2021-02-16	15:43:59	5.52332e2	5.13476e1	7.38917e1	8.0623159e-2	1.2106645e1	7.3164792e-1	
2021-02-16	15:44:00	5.50174e2	5.13509e1	7.38984e1	8.0406045e-2	1.2114198e1	7.2462596e-1	
2021-02-16	15:44:00	5.50238e2	5.13575e1	7.38975e1	8.0411310e-2	1.2109162e1	7.3335738e-1	
2021-02-16	15:44:01	5.47825e2	5.13575e1	7.38870e1	8.0168695e-2	1.2120912e1	7.3807883e-1	
2021-02-16	15:44:01	5.43166e2	5.13542e1	7.39017e1	7.9699125e-2	1.2100770e1	7.1853499e-1	
2021-02-16	15:44:02	5.39649e2	5.13575e1	7.39067e1	7.9342436e-2	1.2097413e1	7.2815566e-1	
2021-02-16	15:44:02	5.38509e2	5.13575e1	7.38905e1	7.9226660e-2	1.2115876e1	7.4185252e-1	
2021-02-16	15:44:03	5.38607e2	5.13575e1	7.38934e1	7.9236578e-2	1.2117555e1	7.2531151e-1	
2021-02-16	15:44:03	5.41477e2	5.13575e1	7.39024e1	7.9527730e-2	1.2103288e1	7.2394461e-1	
2021-02-16	15:44:04	5.45018e2	5.13575e1	7.38955e1	7.9885745e-2	1.2105805e1	7.2902369e-1	
2021-02-16	15:44:04	5.48316e2	5.13608e1	7.39020e1	8.0217552e-2	1.2101609e1	7.2104883e-1	
2021-02-16	15:44:05	5.51880e2	5.13608e1	7.38984e1	8.0575609e-2	1.2117555e1	7.3549599e-1	
2021-02-16	15:44:05	5.54529e2	5.13575e1	7.38917e1	8.0841445e-2	1.2115876e1	7.3683171e-1	
2021-02-16	15:44:06	5.58174e2	5.13542e1	7.38934e1	8.1206026e-2	1.2120072e1	7.2546696e-1	
2021-02-16	15:44:06	5.59904e2	5.13575e1	7.38997e1	8.1377859e-2	1.2104127e1	7.2471704e-1	
