"2021-02-16 at 15:26"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2021-02-16	15:27:14	5.77758e2	5.09027e1	7.38870e1	8.3220005e-2	1.1979919e1	7.2802205e-1	
2021-02-16	15:27:14	5.73025e2	5.09090e1	7.38747e1	8.2754125e-2	1.1995025e1	7.3572611e-1	
2021-02-16	15:27:15	5.58993e2	5.09154e1	7.38820e1	8.1363077e-2	1.1976562e1	7.1866607e-1	
2021-02-16	15:27:15	5.51055e2	5.09218e1	7.38905e1	8.0567665e-2	1.1969848e1	7.3324275e-1	
2021-02-16	15:27:16	5.50311e2	5.09250e1	7.38695e1	8.0492420e-2	1.2001739e1	7.4510459e-1	
2021-02-16	15:27:16	5.47609e2	5.09281e1	7.38772e1	8.0220012e-2	1.1979919e1	7.2006502e-1	
2021-02-16	15:27:17	5.41464e2	5.09409e1	7.38897e1	7.9596881e-2	1.2008453e1	7.2456598e-1	
2021-02-16	15:27:17	5.42405e2	5.09440e1	7.38777e1	7.9691648e-2	1.1986633e1	7.3469548e-1	
2021-02-16	15:27:18	5.40038e2	5.09504e1	7.38802e1	7.9450659e-2	1.1995025e1	7.2034244e-1	
2021-02-16	15:27:18	5.23119e2	5.09666e1	7.38917e1	7.7717089e-2	1.1977401e1	7.2607650e-1	
2021-02-16	15:27:19	5.17489e2	5.09729e1	7.38757e1	7.7133779e-2	1.1990829e1	7.4828243e-1	
2021-02-16	15:27:19	5.22577e2	5.09728e1	7.38635e1	7.7660131e-2	1.1988311e1	7.4023962e-1	
2021-02-16	15:27:20	5.23046e2	5.09792e1	7.38830e1	7.7707462e-2	1.1996704e1	7.1778545e-1	
2021-02-16	15:27:20	5.25584e2	5.09856e1	7.38899e1	7.7967791e-2	1.2002578e1	7.2766065e-1	
2021-02-16	15:27:21	5.33043e2	5.09920e1	7.38777e1	7.8731403e-2	1.1993347e1	7.3313713e-1	
2021-02-16	15:27:21	5.38363e2	5.10017e1	7.38824e1	7.9271850e-2	1.1996704e1	7.2833347e-1	
2021-02-16	15:27:22	5.38117e2	5.10081e1	7.38809e1	7.9245829e-2	1.1998382e1	7.3995451e-1	
2021-02-16	15:27:22	5.34853e2	5.10146e1	7.38744e1	7.8912382e-2	1.1989151e1	7.3289909e-1	
2021-02-16	15:27:23	5.37675e2	5.10244e1	7.38887e1	7.9198064e-2	1.1993347e1	7.1883440e-1	
2021-02-16	15:27:23	5.45056e2	5.10274e1	7.38872e1	7.9945554e-2	1.1992508e1	7.2372388e-1	
2021-02-16	15:27:24	5.44735e2	5.10339e1	7.38860e1	7.9911999e-2	1.1980758e1	7.2348999e-1	
2021-02-16	15:27:24	5.39490e2	5.10371e1	7.38884e1	7.9380369e-2	1.1989990e1	7.3418240e-1	
2021-02-16	15:27:25	5.38282e2	5.10468e1	7.38752e1	7.9256010e-2	1.1990829e1	7.4105958e-1	
2021-02-16	15:27:25	5.36780e2	5.10532e1	7.38787e1	7.9102153e-2	1.1980758e1	7.2530784e-1	
2021-02-16	15:27:26	5.34697e2	5.10596e1	7.38929e1	7.8888902e-2	1.1986633e1	7.1791796e-1	
2021-02-16	15:27:26	5.32178e2	5.10661e1	7.38864e1	7.8630614e-2	1.1987472e1	7.2582378e-1	
2021-02-16	15:27:27	5.24786e2	5.10726e1	7.38877e1	7.7871141e-2	1.1981598e1	7.1776752e-1	
2021-02-16	15:27:27	5.19477e2	5.10856e1	7.38929e1	7.7321076e-2	1.1979919e1	7.3522453e-1	
2021-02-16	15:27:28	5.16705e2	5.10954e1	7.38744e1	7.7032155e-2	1.1999221e1	7.4421291e-1	
2021-02-16	15:27:28	5.11240e2	5.10986e1	7.38805e1	7.6463108e-2	1.2018524e1	7.2315282e-1	
2021-02-16	15:27:29	5.07166e2	5.10985e1	7.38919e1	7.6037206e-2	1.1994186e1	7.2224187e-1	
2021-02-16	15:27:29	5.04226e2	5.11017e1	7.38854e1	7.5728273e-2	1.1986633e1	7.2810039e-1	
2021-02-16	15:27:30	5.01726e2	5.11114e1	7.38917e1	7.5463733e-2	1.1984955e1	7.1545820e-1	
2021-02-16	15:27:30	5.03841e2	5.11212e1	7.38962e1	7.5684642e-2	1.1980758e1	7.3334369e-1	
2021-02-16	15:27:31	5.06637e2	5.11277e1	7.38762e1	7.5977034e-2	1.2010132e1	7.4263305e-1	
2021-02-16	15:27:31	5.07942e2	5.11343e1	7.38854e1	7.6112656e-2	1.1981598e1	7.2350907e-1	
2021-02-16	15:27:32	5.10284e2	5.11441e1	7.38929e1	7.6355819e-2	1.1984955e1	7.3166747e-1	
2021-02-16	15:27:32	5.08155e2	5.11506e1	7.38759e1	7.6132183e-2	1.1991668e1	7.4115395e-1	
2021-02-16	15:27:33	5.03295e2	5.11603e1	7.38884e1	7.5620946e-2	1.1979080e1	7.1489543e-1	
2021-02-16	15:27:33	5.01427e2	5.11701e1	7.39002e1	7.5422706e-2	1.1979919e1	7.2963294e-1	
2021-02-16	15:27:34	5.00454e2	5.11734e1	7.38789e1	7.5319671e-2	1.1995025e1	7.4811511e-1	
2021-02-16	15:27:34	4.99494e2	5.11799e1	7.38807e1	7.5217380e-2	1.1988311e1	7.2493324e-1	
2021-02-16	15:27:35	5.03515e2	5.11831e1	7.38977e1	7.5640287e-2	1.1995025e1	7.2057480e-1	
2021-02-16	15:27:35	5.10048e2	5.11864e1	7.38860e1	7.6324234e-2	1.1986633e1	7.2969713e-1	
2021-02-16	15:27:36	5.11193e2	5.12028e1	7.38889e1	7.6441020e-2	1.1979080e1	7.1645379e-1	
2021-02-16	15:27:36	5.08681e2	5.12093e1	7.38994e1	7.6177597e-2	1.1988311e1	7.3520507e-1	
2021-02-16	15:27:37	5.04899e2	5.12093e1	7.38752e1	7.5781373e-2	1.1995865e1	7.4818792e-1	
2021-02-16	15:27:37	5.02308e2	5.12191e1	7.38822e1	7.5507488e-2	1.1985794e1	7.2165536e-1	
2021-02-16	15:27:38	5.03769e2	5.12257e1	7.38970e1	7.5660061e-2	1.2005935e1	7.3065614e-1	
2021-02-16	15:27:38	5.07146e2	5.12289e1	7.38805e1	7.6013731e-2	1.1991668e1	7.4208588e-1	
2021-02-16	15:27:39	5.09388e2	5.12421e1	7.38892e1	7.6246094e-2	1.1980758e1	7.1676797e-1	
2021-02-16	15:27:39	5.10487e2	5.12520e1	7.39012e1	7.6359329e-2	1.1987472e1	7.2448868e-1	
2021-02-16	15:27:40	5.10218e2	5.12585e1	7.38840e1	7.6330080e-2	1.2005935e1	7.4399733e-1	
2021-02-16	15:27:40	5.03230e2	5.12684e1	7.38812e1	7.5596418e-2	1.2004257e1	7.3110647e-1	
2021-02-16	15:27:41	4.96116e2	5.12717e1	7.38922e1	7.4845385e-2	1.1994186e1	7.2564959e-1	
2021-02-16	15:27:41	4.96549e2	5.12783e1	7.38837e1	7.4890131e-2	1.1987472e1	7.3592271e-1	
2021-02-16	15:27:42	4.97501e2	5.12881e1	7.38902e1	7.4989247e-2	1.1980758e1	7.1916179e-1	
2021-02-16	15:27:42	4.97017e2	5.12947e1	7.38994e1	7.4937057e-2	1.2000900e1	7.3639287e-1	
2021-02-16	15:27:43	4.96011e2	5.12980e1	7.38772e1	7.4830060e-2	1.1994186e1	7.4800071e-1	
2021-02-16	15:27:43	4.95838e2	5.13046e1	7.38840e1	7.4810600e-2	1.1994186e1	7.2031660e-1	
2021-02-16	15:27:44	4.96983e2	5.13178e1	7.39027e1	7.4929623e-2	1.1983276e1	7.2899179e-1	
2021-02-16	15:27:44	4.97559e2	5.13178e1	7.38824e1	7.4990615e-2	1.2012649e1	7.4424357e-1	
2021-02-16	15:27:45	4.96181e2	5.13178e1	7.38864e1	7.4844765e-2	1.1987472e1	7.2397584e-1	
2021-02-16	15:27:45	4.94906e2	5.13310e1	7.39020e1	7.4707660e-2	1.1981598e1	7.2146854e-1	
2021-02-16	15:27:46	4.95500e2	5.13377e1	7.38912e1	7.4769535e-2	1.1983276e1	7.4642186e-1	
2021-02-16	15:27:46	4.96057e2	5.13410e1	7.38727e1	7.4827966e-2	1.2007614e1	7.4389228e-1	
2021-02-16	15:27:47	4.93797e2	5.13509e1	7.38942e1	7.4586839e-2	1.1979919e1	7.1552963e-1	
2021-02-16	15:27:47	4.93127e2	5.13509e1	7.39024e1	7.4515700e-2	1.1987472e1	7.1995596e-1	
2021-02-16	15:27:48	4.95229e2	5.13542e1	7.38897e1	7.4738092e-2	1.1979080e1	7.3455772e-1	
2021-02-16	15:27:48	4.94938e2	5.13608e1	7.38912e1	7.4706225e-2	1.1983276e1	7.3246073e-1	
2021-02-16	15:27:49	4.93887e2	5.13641e1	7.38862e1	7.4594187e-2	1.1992508e1	7.4338216e-1	
2021-02-16	15:27:49	4.93164e2	5.13675e1	7.38799e1	7.4516944e-2	1.1985794e1	7.3727664e-1	
2021-02-16	15:27:50	4.92526e2	5.13708e1	7.38939e1	7.4448642e-2	1.1990829e1	7.2413759e-1	
2021-02-16	15:27:50	4.90335e2	5.13741e1	7.38942e1	7.4215083e-2	1.1974884e1	7.2656002e-1	
2021-02-16	15:27:51	4.90119e2	5.13741e1	7.38915e1	7.4192023e-2	1.2018524e1	7.2300310e-1	
2021-02-16	15:27:51	4.92736e2	5.13774e1	7.38949e1	7.4469828e-2	1.1996704e1	7.4166731e-1	
2021-02-16	15:27:52	4.93642e2	5.13774e1	7.38785e1	7.4566102e-2	1.2010971e1	7.4668431e-1	
2021-02-16	15:27:52	4.94390e2	5.13774e1	7.38824e1	7.4645462e-2	1.1987472e1	7.2740406e-1	
2021-02-16	15:27:53	4.98528e2	5.13807e1	7.38962e1	7.5082774e-2	1.1997543e1	7.3476343e-1	
2021-02-16	15:27:53	5.02136e2	5.13807e1	7.38787e1	7.5463056e-2	1.2005935e1	7.4356389e-1	
2021-02-16	15:27:54	4.97998e2	5.13807e1	7.38917e1	7.5026822e-2	1.1989151e1	7.1504158e-1	
2021-02-16	15:27:54	4.92770e2	5.13807e1	7.39045e1	7.4472990e-2	1.2021042e1	7.3010735e-1	
2021-02-16	15:27:55	4.92882e2	5.13774e1	7.38827e1	7.4485406e-2	1.2009292e1	7.5408577e-1	
2021-02-16	15:27:55	4.97432e2	5.13874e1	7.38794e1	7.4965915e-2	1.1996704e1	7.3201475e-1	
2021-02-16	15:27:56	4.98755e2	5.13907e1	7.39002e1	7.5105071e-2	1.2003418e1	7.2057781e-1	
2021-02-16	15:27:56	4.95375e2	5.13940e1	7.38915e1	7.4747133e-2	1.1994186e1	7.3468036e-1	
2021-02-16	15:27:57	4.93121e2	5.13940e1	7.38902e1	7.4508066e-2	1.2000061e1	7.2341375e-1	
2021-02-16	15:27:57	4.90599e2	5.13907e1	7.38967e1	7.4240469e-2	1.2007614e1	7.4456291e-1	
2021-02-16	15:27:58	4.88507e2	5.13907e1	7.38767e1	7.4017610e-2	1.2021881e1	7.4845399e-1	
2021-02-16	15:27:58	4.86769e2	5.13940e1	7.38844e1	7.3831520e-2	1.1999221e1	7.2236309e-1	
2021-02-16	15:27:59	4.85589e2	5.13940e1	7.38987e1	7.3705348e-2	1.2005096e1	7.3075871e-1	
2021-02-16	15:27:59	4.86746e2	5.13940e1	7.38840e1	7.3829050e-2	1.2016845e1	7.4506182e-1	
2021-02-16	15:28:00	4.88047e2	5.13940e1	7.38872e1	7.3968024e-2	1.2014328e1	7.2651996e-1	
2021-02-16	15:28:00	4.88693e2	5.13973e1	7.39007e1	7.4036397e-2	1.2018524e1	7.2182726e-1	
2021-02-16	15:28:01	4.87939e2	5.13973e1	7.38945e1	7.3955907e-2	1.2019363e1	7.4770259e-1	
2021-02-16	15:28:01	4.84575e2	5.14007e1	7.38740e1	7.3595733e-2	1.2021042e1	7.4418215e-1	
2021-02-16	15:28:02	4.82543e2	5.14040e1	7.38942e1	7.3377299e-2	1.2014328e1	7.1879076e-1	
2021-02-16	15:28:02	4.83824e2	5.14073e1	7.38994e1	7.3514199e-2	1.2029434e1	7.3220515e-1	
